famille	rang	photo	libelle1	libelle2	libelle3	libelle4	libelle5	libelle6	pvttc	pvht	tva	tph	pvbarre	refweb	etat	four	reffour
11	6	0-819.jpg	DIAM'S0.819	Solitaire en or jaune 18 carats 1 diamant de 0.10 carat couleur F pureté SI1		Or jaune<BR>OR 18 CARATS<BR>2,10 Gr<BR><PUn><BR><PCn>			  62100.00	  61945.12	    154.88	      0.00	      0.00	918.0 999		999	0.819
31	21	d6-86-ob.jpg	DIAM'SD6.86-OB	Boucles d'oreilles  lune en or blanc 18 carats diamants de 0,11 carat en FSI1		Or blanc<BR>OR 18 CARATS<BR>1,00 Gr<BR><PUn><BR><PCn>			  51800.00	  51670.81	    129.19	      0.00	      0.00	BO-68.6D 999		999	D6.86-OB
11	7	0-819-ob.jpg	DIAM'S0.819/OB	Solitaire en or blanc 18 carats 1 diamant 0.10 carat couleur F  pureté SI1		Or blanc<BR>OR 18 CARATS<BR>2,10 Gr<BR><PUn><BR><PCn>			  57200.00	  57057.34	    142.66	      0.00	      0.00	BO/918.0 999		999	0.819/OB
31	22	d6-9.jpg	DIAM'SD6.9	Boucles d'oreille en jaune 18 carats 8 diamants  de 0.02 carat couleur  F  pureté SI 1		Or jaune<BR>OR 18 CARATS<BR>1,60 Gr<BR><PUn><BR><PCn>			  60912.00	  60760.09	    151.91	      0.00	      0.00	9.6D 999		999	D6.9
11	8	0-822.jpg	DIAM'S0.822	Solitaire en or jaune 18 carats 1 diamant 0.20 carat couleur F puretéSI1		Or jaune<BR>OR 18 CARATS<BR>3,70 Gr<BR><PUn><BR><PCn>			 129600.00	 129276.78	    323.22	      0.00	      0.00	228.0 999		999	0.822
31	23	d6-9-ob.jpg	DIAM'SD6.9/OB	Boucle d'oreilles en or blanc 18 carats , 8 diamants de 0,02 carats couleur F pureté SI1		Or blanc<BR>OR 18 CARATS<BR>1,60 Gr<BR><PUn><BR><PCn>			  76080.00	  75890.26	    189.74	      0.00	      0.00	BO/9.6D 999		999	D6.9/OB
11	9	0-953.jpg	DIAM'S0.953	Solitaire en or jaune 18 carats 1 diamant 0.30  carat couleur F pureté SI1		Or jaune<BR>OR 18 CARATS<BR>3,40 Gr<BR><PUn><BR><PCn>			 212460.00	 211930.12	    529.88	      0.00	      0.00	359.0 999		999	0.953
11	10	d0-100.jpg	DIAM'SD0.100	Solitaire en or jaune 18 carats 1 diamants pricesse de  0,15 carats 12 diamants de 0.01 carat en FSI1		Or jaune<BR>OR 18 CARATS<BR>3,80 Gr<BR><PUn><BR><PCn>			 130756.00	 130429.89	    326.11	      0.00	      0.00	001.0D 999		999	D0.100
11	11	d0-101-ob.jpg	DIAM'SD0.101-OB	Solitaire en or blanc 18 carats 1 diamant princesse de 0,15 carat 12 diamants de 0.01 carat en FSI1		Or blanc<BR>OR 18 CARATS<BR>3,80 Gr<BR><PUn><BR><PCn>			 135177.00	 134839.87	    337.13	      0.00	      0.00	BO-101.0D 999		999	D0.101-OB
11	12	d0-102-ob.jpg	DIAM'SD0.102-OB	Solitaire en or blanc 18 carats 1 diamant de 0.15 ct 5 diamants de 0.01 ct couleur F pureté SI1		Or blanc<BR>OR 18 CARATS<BR>3,50 Gr<BR><PUn><BR><PCn>			 126400.00	 126084.76	    315.24	      0.00	      0.00	BO-201.0D 999		999	D0.102-OB
11	13	d0-114.jpg	DIAM'SD0.114	Solitaire en or jaune 18 carats 1 diamant de 0,20 carat couleur F pureté SI1		Or jaune<BR>OR 18 CARATS<BR>2,30 Gr<BR><PUn><BR><PCn>			 120200.00	 119900.22	    299.78	      0.00	      0.00	411.0D 999		999	D0.114
11	14	d0-117.jpg	DIAM'SD0.117	Solitaire en or jaune 18 carats  1diamant 0.07 carat couleur F pureté SI1		Or jaune<BR>OR 18 CARATS<BR>1,70 Gr<BR><PUn><BR><PCn>			  44832.00	  44720.19	    111.81	      0.00	      0.00	711.0D 999		999	D0.117
11	15	d0-12-ob.jpg	DIAM'SD0.12/OB	Solitaire en or blanc 18 carats  1 diamat de 0.20 carat 4 diamant de 0.02 carat couleur F pureté SI1		Or blanc<BR>OR 18 CARATS<BR>4,00 Gr<BR><PUn><BR><PCn>			 169653.00	 169229.89	    423.11	      0.00	      0.00	BO/21.0D 999		999	D0.12/OB
17	1	1-246.jpg	DIAM'S1.246	Alliance surf satinée  or jaune 18 carats		Or jaune<BR>OR 18 CARATS<BR>6,60 Gr			  75800.00	  75610.95	    189.05	      0.00	      0.00	642.1 999		999	1.246
11	17	d0-136-ob.jpg	DIAM'SD0.136-OB	Solitaire en or blanc 18 carats 1 diamant de 0.10 ct 40 diamants de 0.008 carat couleur F pureté SI1		Or jaune<BR>OR 18 CARATS<BR>3,60 Gr<BR><PUn><BR><PCn>			 166836.00	 166419.91	    416.09	      0.00	      0.00	BO-631.0D 999		999	D0.136-OB
11	18	d0-139.jpg	DIAM'SD0.139	Solitaire en or jaune 18 carats1 diamant de 0,04 carat couleur F pureté SI1		Or jaune<BR>OR 18 CARATS<BR>1,30 Gr<BR><PUn><BR><PCn>			  30800.00	  30723.18	     76.82	      0.00	      0.00	931.0D 999		999	D0.139
11	19	d0-14.jpg	DIAM'SD0.14	Solitaire en or jaune 18 carats 1 diamant de  0.07 carat Couleur F  Pureté  SI1		Or jaune<BR>OR 18 CARATS<BR>2,90 Gr<BR><PUn><BR><PCn>			  58500.00	  58354.10	    145.90	      0.00	      0.00	41.0D 999		999	D0.14
11	20	d0-149-ob.jpg	DIAM'SD0.149-OB	Solitaire or blanc 18 cts , 6 griffes 1 diamant taille brillant  0,07 carat en FSI1		Or blanc<BR>OR 18 CARATS<BR>1,90 Gr<BR><PUn><BR><PCn>			  54376.00	  54240.39	    135.61	      0.00	      0.00	BO-941.0D 999		999	D0.149-OB
11	21	d0-16-ob.jpg	DIAM'SD0.16/OB	Monture solitaire en or blanc 18 carats 28 diamants 0.01 carat couleur F pureté SI1		Or blanc<BR>OR 18 CARATS<BR>5,40 Gr<BR><PUn><BR><PCn>			 193000.00	 192518.66	    481.34	      0.00	      0.00	BO/61.0D 999		999	D0.16/OB
11	22	d0-18.jpg	DIAM'SD0.18	Solitaire en or jaune 18 carats 1 diamant 0.10 carat 8 diamants 0.01 carat couleur F pureté SI 1		Or jaune<BR>OR 18 CARATS<BR>2,80 Gr<BR><PUn><BR><PCn>			 101914.00	 101659.83	    254.17	      0.00	      0.00	81.0D 999		999	D0.18
11	23	d0-19.jpg	DIAM'SD0.19	Solitaire en or jaune 18 carats 1 diamant 0.10 carat 12 diamants 0.01 carat couleur F pureté SI1		Or jaune<BR>OR 18 CARATS<BR>3,40 Gr<BR><PUn><BR><PCn>			 122215.00	 121910.20	    304.80	      0.00	      0.00	91.0D 999		999	D0.19
11	24	d0-26-ob.jpg	DIAM'SD0.26-OB	Bague en or blanc 18 carats 1 diamant de 0,30 carats 12 diamant de 0,03 carats en FSI1		Or blanc<BR>OR 18 CARATS<BR>5,60 Gr<BR><PUn><BR><PCn>			 289400.00	 288678.24	    721.76	      0.00	      0.00	BO-62.0D 999		999	D0.26-OB
11	25	d0-26-ob.jpg	DIAM'SD0.26/OB	Solitaire en or blanc 18 carats 1 diamant 0.30 carat 12 diamants 0.03 carat  couleur  F pureté SI1		Or blanc<BR>OR 18 CARATS<BR>5,30 Gr<BR><PUn><BR><PCn>			 301800.00	 301047.31	    752.69	      0.00	      0.00	BO/62.0D 999		999	D0.26/OB
11	26	d0-27.jpg	DIAM'SD0.27	Solitaire en or jaune 18 carats 1 diamant de 0.15 carat couleur F pureté SI 1		Or jaune<BR>OR 18 CARATS<BR>2,20 Gr<BR><PUn><BR><PCn>			  90500.00	  90274.29	    225.71	      0.00	      0.00	72.0D 999		999	D0.27
11	27	d0-27-ob.jpg	DIAM'SD0.27/OB	Solitaire en or blanc 18 carats 1 diamant de 0.15 carat  couleur F pureté SI1		Or blanc<BR>OR 18 CARATS<BR>2,20 Gr<BR><PUn><BR><PCn>			  90756.00	  90529.65	    226.35	      0.00	      0.00	BO/72.0D 999		999	D0.27/OB
11	28	d0-46.jpg	DIAM'SD0.46	Solitaire en or jaune 18 carats 1 diamant de 0.15 carat couleurF pureté SI1		Or jaune<BR>OR 18 CARATS<BR>4,10 Gr<BR><PUn><BR><PCn>			 110500.00	 110224.41	    275.59	      0.00	      0.00	64.0D 999		999	D0.46
11	29	d0-50.jpg	DIAM'SD0.50	Solitaire en or jaune 18 carats 1 diamant de 0.30 carat couleur F pureté SI1		Or jaune<BR>OR 18 CARATS<BR>4,20 Gr<BR><PUn><BR><PCn>			 223800.00	 223241.84	    558.16	      0.00	      0.00	05.0D 999		999	D0.50
11	30	d0-52-ob.jpg	DIAM'SD0.52-OB	Solitaire en or blanc 18 carats 1 diamant de 0.71 carat  en F.SI1  42 diamants de 0.01 carat		<BR>OR 18 CARATS<BR>5,90 Gr<BR><PUn><BR><PCn>			1112900.00	1110124.43	   2775.57	      0.00	      0.00	BO-25.0D 999		999	D0.52-OB
